id,ip,port,service,version,cvss,cve,epss,exposition,criticite,donnees,description,kev
V17,10.0.0.30,22,OpenSSH,6.7,9.8,CVE-2016-6515,0.05,Interne,Élevée,Interne,Déni de service par authentification massive — pas de rate limiting,0
V18,10.0.0.35,25,Postfix,3.4,5.3,CVE-2020-12063,0.03,DMZ,Moyenne,Public,SMTP open relay — le serveur peut être utilisé pour envoyer du spam,0
V19,10.0.0.35,25,Postfix,3.4,6.1,CVE-2021-38296,0.02,DMZ,Moyenne,Public,Injection d'en-têtes SMTP permettant l'usurpation d'expéditeur,0
V20,10.0.0.35,587,Postfix,3.4,4.3,-,0.01,DMZ,Moyenne,Public,Port SMTP submission ouvert sans authentification obligatoire,0
V21,10.0.0.40,443,pfSense,2.5,9.8,CVE-2021-41282,0.08,Internet,Critique,Interne,Injection de commandes shell dans l'interface d'administration pfSense,1
V22,10.0.0.40,80,pfSense,2.5,8.8,CVE-2022-31814,0.05,Internet,Critique,Interne,CSRF permettant la modification de règles firewall sans authentification,0
V23,10.0.0.40,22,OpenSSH,8.1,7.8,CVE-2023-38408,0.07,Internet,Critique,Interne,RCE via agent SSH forwarding dans OpenSSH < 9.3,0
V24,10.0.0.40,443,pfSense,2.5,6.5,CVE-2021-41281,0.03,Internet,Critique,Interne,XSS réfléchi dans l'interface web — vol de session administrateur,0
V25,10.0.0.45,3000,Grafana,8.0,9.8,CVE-2021-43798,0.92,Interne,Moyenne,Interne,Path traversal permettant la lecture de fichiers système arbitraires,1
V26,10.0.0.45,3000,Grafana,8.0,8.1,CVE-2022-21702,0.06,Interne,Moyenne,Interne,XSS stocké via les annotations de dashboard — persistant après redémarrage,0
V27,10.0.0.45,3000,Grafana,8.0,6.5,CVE-2022-21703,0.04,Interne,Moyenne,Interne,CSRF dans l'API Grafana — modification de dashboards à distance,0
V28,10.0.0.50,9101,Bacula,9.4,7.2,CVE-2020-11061,0.03,Interne,Élevée,Sensible,Injection de commandes dans le Director Bacula — accès aux sauvegardes,0
V29,10.0.0.50,9102,Bacula,9.4,6.8,-,0.02,Interne,Élevée,Sensible,Authentification MD5 faible entre composants Bacula — brute-force possible,0
V30,10.0.0.50,22,OpenSSH,7.9,5.3,CVE-2019-6111,0.04,Interne,Élevée,Sensible,Ecriture arbitraire de fichiers via scp — nécessite accès SSH,0
V31,10.0.0.55,80,Apache,2.4.41,7.5,CVE-2020-11993,0.05,Interne,Faible,Public,Déni de service via requêtes HTTP/2 malformées sur mod_http2,0
V32,10.0.0.55,3306,MySQL,8.0,6.5,CVE-2021-2144,0.03,Interne,Faible,Public,Élévation de privilèges locale via la procédure stockée système,0
V33,10.0.0.55,22,OpenSSH,8.2,5.5,CVE-2021-28041,0.02,Interne,Faible,Public,Double free dans ssh-agent — crash possible en cas d'agent forwarding,0
V34,10.0.0.10,10250,Kubernetes API,1.19,9.8,CVE-2020-8554,0.11,Internet,Critique,Sensible,Man-in-the-middle via ExternalIP services — interception du trafic cluster,0
V35,10.0.0.25,8080,Confluence,7.13,10.0,CVE-2023-22527,0.94,Interne,Moyenne,Interne,RCE via injection de template OGNL — exploit public disponible,1
